Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 11:10:25	 997 	c1254 	529 	 168 	 10101000 	 168 	 16651984 	 113	 79	 80	 121	 32	 148	 
2019-05-03 11:10:27	 950 	c1254 	530 	 172 	 10101000 	 168 	 16673248 	 114	 79	 80	 121	 32	 148	 
2019-05-03 11:10:28	 922 	c1254 	531 	 176 	 10101000 	 168 	 16683832 	 115	 79	 80	 121	 32	 148	 
2019-05-03 11:10:38	 887 	c1254 	532 	 180 	 10101000 	 168 	 14832 	 116	 79	 80	 121	 32	 148	 
2019-05-03 11:10:39	 883 	c1254 	533 	 184 	 10101000 	 168 	 25656 	 117	 79	 80	 121	 32	 148	 
2019-05-03 11:10:40	 877 	c1254 	534 	 188 	 10101000 	 168 	 36456 	 118	 79	 80	 121	 32	 148	 
2019-05-03 11:10:42	 822 	c1254 	535 	 192 	 10101000 	 168 	 57648 	 119	 79	 80	 121	 32	 148	 
2019-05-03 11:10:43	 761 	c1254 	536 	 196 	 10101000 	 168 	 67920 	 120	 79	 80	 121	 32	 148	 
2019-05-03 11:10:45	 818 	c1254 	537 	 200 	 10101000 	 168 	 90168 	 121	 79	 80	 121	 32	 148	 
2019-05-03 11:10:50	 852 	c1254 	538 	 204 	 10101000 	 168 	 144768 	 122	 79	 80	 121	 32	 148	 
2019-05-03 11:10:52	 841 	c1254 	539 	 208 	 10101000 	 168 	 166368 	 123	 79	 80	 121	 32	 148	 
2019-05-03 11:10:53	 914 	c1254 	540 	 212 	 10101000 	 168 	 177912 	 124	 79	 80	 121	 32	 148	 
2019-05-03 11:41:17	 731 	c1254 	543 	 220 	 10101000 	 168 	 3264320 	 125	 79	 80	 121	 32	 148	 
2019-05-03 11:54:10	 215 	c1254 	544 	 224 	 10101000 	 168 	 11704088 	 126	 79	 80	 121	 32	 148	 
2019-05-03 12:22:23	 558 	c1254	8023 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 12:22:24	 135 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 12:22:24	 482 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 12:22:25	 256 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 12:25:18	1039 	c1254 	545 	 232 	 01110100 	 116 	 15428992 	 126	 79	 81	 121	 32	 149	 
2019-05-03 12:25:31	 432 	c1254 	546 	 237 	 10101000 	 168 	 15567040 	 127	 79	 81	 121	 32	 149	 
2019-05-03 12:27:54	 449 	c1254 	547 	 241 	 10101000 	 168 	 371880 	 128	 79	 81	 121	 32	 149	 
2019-05-03 17:40:57	1105 	c1254 	549 	 247 	 10101000 	 168 	 7042032 	 129	 79	 81	 121	 32	 149	 
2019-05-03 20:46:05	 904 	c1254	558 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 05:16:05	 787 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 07:31:45	 895 	c1254 	550 	 251 	 10101000 	 168 	 5942400 	 130	 79	 81	 121	 32	 149	 
2019-05-04 07:34:55	 782 	c1254 	552 	 1 	 10101000 	 168 	 8038656 	 131	 79	 81	 121	 32	 149	 
2019-05-04 08:33:52	 773 	c1254 	553 	 5 	 10101000 	 168 	 13157416 	 132	 79	 81	 121	 32	 149	 
2019-05-04 08:33:55	 261 	c1254 	556 	 13 	 10101000 	 168 	 13185256 	 133	 79	 81	 121	 32	 149	 
2019-05-04 08:33:57	 481 	c1254 	557 	 17 	 10101000 	 168 	 13209088 	 134	 79	 81	 121	 32	 149	 
2019-05-04 08:34:21	 850 	c1254 	558 	 25 	 01110100 	 116 	 13473784 	 134	 79	 82	 121	 32	 150	 
2019-05-04 08:39:14	 641 	c1254 	560 	 36 	 01110100 	 116 	 16656040 	 134	 79	 83	 121	 32	 151	 
2019-05-04 08:40:47	 574 	c1254 	561 	 44 	 01111000 	 120 	 886848 	 134	 79	 83	 122	 32	 151	 
2019-05-04 08:41:39	 407 	c1254 	562 	 50 	 01110100 	 116 	 1448808 	 134	 79	 84	 122	 32	 152	 
2019-05-04 08:44:10	 753 	c1254 	564 	 60 	 10110100 	 180 	 3087096 	 134	 80	 84	 122	 32	 153	 
2019-05-04 08:44:16	1089 	c1254 	565 	 67 	 11111000 	 248 	 3155184 	 135	 80	 84	 122	 32	 153	 
2019-05-04 08:51:32	 171 	c1254 	566 	 73 	 01111000 	 120 	 7855968 	 135	 80	 84	 123	 32	 153	 
2019-05-04 08:56:40	 671 	c1254 	567 	 82 	 01110100 	 116 	 11182224 	 135	 80	 85	 123	 32	 154	 
2019-05-04 08:56:59	  44 	c1254 	568 	 91 	 01111000 	 120 	 11381136 	 135	 80	 85	 124	 32	 154	 
2019-05-04 08:59:26	 717 	c1254 	569 	 101 	 01110100 	 116 	 12971592 	 135	 80	 86	 124	 32	 155	 
2019-05-04 08:59:31	 763 	c1254 	570 	 107 	 01111000 	 120 	 13025904 	 135	 80	 86	 125	 32	 155	 
