Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-17 11:05:48	 457 	c1254 	2285 	 115 	 01111000 	 120 	 11072864 	 223	 194	 186	 309	 34	 346	 
2019-05-17 11:06:07	 633 	c1254 	2286 	 121 	 10110100 	 180 	 11281712 	 223	 195	 186	 309	 34	 347	 
2019-05-17 11:06:41	 202 	c1254 	2287 	 129 	 01111000 	 120 	 11648456 	 223	 195	 186	 310	 34	 347	 
2019-05-17 11:07:28	1048 	c1254 	2290 	 143 	 01110100 	 116 	 12169064 	 223	 195	 187	 310	 34	 348	 
2019-05-17 11:07:39	  99 	c1254 	2291 	 152 	 11111000 	 248 	 12280088 	 224	 195	 187	 310	 34	 348	 
2019-05-17 11:08:20	 905 	c1254 	2293 	 163 	 01110100 	 116 	 12734816 	 224	 195	 188	 310	 34	 349	 
2019-05-17 11:08:51	 400 	c1254 	2296 	 179 	 01111000 	 120 	 13068152 	 224	 195	 188	 311	 34	 349	 
2019-05-17 11:09:41	 342 	c1254 	2298 	 189 	 01110100 	 116 	 13613120 	 224	 195	 189	 311	 34	 350	 
2019-05-17 11:09:54	 617 	c1254 	2299 	 195 	 11111000 	 248 	 13757528 	 225	 195	 189	 311	 34	 350	 
2019-05-17 11:10:39	 885 	c1254 	2300 	 201 	 01110100 	 116 	 14250968 	 225	 195	 190	 311	 34	 351	 
2019-05-17 11:10:50	 892 	c1254 	2301 	 210 	 10111000 	 184 	 14371040 	 225	 195	 190	 311	 35	 351	 
2019-05-17 11:12:35	 597 	c1254 	2302 	 216 	 10110100 	 180 	 15513920 	 225	 196	 190	 311	 35	 352	 
2019-05-17 11:13:19	 532 	c1254 	2303 	 222 	 01111000 	 120 	 15993320 	 225	 196	 190	 312	 35	 352	 
2019-05-17 11:14:52	 328 	c1254 	2305 	 230 	 01110100 	 116 	 228760 	 225	 196	 191	 312	 35	 353	 
2019-05-17 11:15:01	 684 	c1254 	2308 	 243 	 10111000 	 184 	 330304 	 225	 196	 191	 312	 36	 353	 
2019-05-17 11:15:26	1029 	c1254 	2309 	 249 	 01110100 	 116 	 606304 	 225	 196	 192	 312	 36	 354	 
2019-05-17 11:15:41	  99 	c1254 	2310 	 4 	 01111000 	 120 	 761200 	 225	 196	 192	 313	 36	 354	 
