Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 09:24:20	  27 	c1254 	1617 	 217 	 01110100 	 116 	 11602840 	 63	 103	 84	 174	 7	 171	 
2019-05-10 09:24:25	 400 	c1254 	1619 	 227 	 01110100 	 116 	 11660320 	 63	 103	 85	 174	 7	 171	 
2019-05-10 09:24:27	 437 	c1254 	1620 	 233 	 01110100 	 116 	 11682256 	 63	 103	 86	 174	 7	 171	 
2019-05-10 09:25:25	 733 	c1254 	1621 	 242 	 01110100 	 116 	 12311152 	 63	 103	 87	 174	 7	 172	 
2019-05-10 09:25:38	 402 	c1254 	1622 	 249 	 01110100 	 116 	 12448408 	 63	 103	 88	 174	 7	 173	 
2019-05-10 09:25:40	 451 	c1254 	1623 	 5 	 01110100 	 116 	 12470488 	 63	 103	 89	 174	 7	 173	 
2019-05-10 09:25:42	 992 	c1254 	1625 	 13 	 01110100 	 116 	 12497176 	 63	 103	 90	 174	 7	 173	 
2019-05-10 09:25:45	 847 	c1254 	1626 	 19 	 10110100 	 180 	 12528232 	 63	 104	 90	 174	 7	 173	 
2019-05-10 09:26:00	 212 	c1254 	1627 	 27 	 01111000 	 120 	 12684280 	 63	 104	 90	 175	 7	 173	 
2019-05-10 09:26:03	 698 	c1254 	1628 	 31 	 10101000 	 168 	 12721240 	 64	 104	 90	 175	 7	 173	 
2019-05-10 09:26:05	  37 	c1254 	1629 	 41 	 01111000 	 120 	 12736648 	 64	 104	 90	 176	 7	 173	 
2019-05-10 09:26:53	 190 	c1254 	1630 	 45 	 01010100 	 84 	 13256584 	 65	 104	 90	 176	 7	 173	 
2019-05-10 09:26:54	 752 	c1254 	1631 	 51 	 01110100 	 116 	 13272664 	 65	 104	 91	 176	 7	 174	 
2019-05-10 09:30:37	 443 	c1254 	1633 	 62 	 01111000 	 120 	 15679768 	 65	 104	 91	 177	 7	 174	 
2019-05-10 09:33:22	 177 	c1254 	1635 	 74 	 11110100 	 244 	 684696 	 66	 104	 91	 177	 7	 174	 
2019-05-10 09:33:29	1023 	c1254 	1637 	 83 	 01111000 	 120 	 768384 	 66	 104	 91	 178	 7	 174	 
2019-05-10 09:38:58	 838 	c1254 	1639 	 92 	 10110100 	 180 	 4327392 	 66	 105	 91	 178	 7	 175	 
2019-05-10 09:39:18	  79 	c1254 	1640 	 98 	 01111000 	 120 	 4536792 	 66	 105	 91	 179	 7	 175	 
2019-05-10 09:41:01	 527 	c1254 	1641 	 110 	 10110100 	 180 	 5656152 	 66	 106	 91	 179	 7	 176	 
2019-05-10 09:41:12	  62 	c1254 	1642 	 119 	 01111000 	 120 	 5770872 	 66	 106	 91	 180	 7	 176	 
2019-05-10 09:41:31	 717 	c1254 	1643 	 127 	 01110100 	 116 	 5982768 	 66	 106	 92	 180	 7	 177	 
2019-05-10 09:41:43	 532 	c1254 	1644 	 134 	 01111000 	 120 	 6110976 	 66	 106	 92	 181	 7	 177	 
2019-05-10 09:42:31	 340 	c1254 	1646 	 144 	 10110100 	 180 	 6628944 	 66	 107	 92	 181	 7	 178	 
2019-05-10 09:42:51	 810 	c1254 	1647 	 150 	 01111000 	 120 	 6849912 	 66	 107	 92	 182	 7	 178	 
