FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MV,93,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV93,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,94,1,BLUTI,FP/FX/YN4?(1)/EN3/10:35,18/05/2021,,60,66,1,,,,,7,1,66,77,79,1,0,89,,,,,,,,,,,,,,,,93,93,2,0,,7,,,,,,MV94,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,N4,,,,,N3,,,,,N5,,,,,EN3/CO/NP/11:50,,,,,FP/FX/EN7/BLUTI/12:50,,,,MISSED,,,,,,,,FP/FX/YN4?(1)/EN3/10:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,95,1,BLUTI,YX4+(5)/EN2/ABANDONED/9:45,23/05/2021,,54,63,0,,,,,10,1,68,79,79,0,2,89,NA,NA,,,,,,,,,,,,,,93,NA,,,,Abandoned,,,,,84,MV95,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,N5,,,,,N4/5,,,,,EN4/CO/NP/BLUTI/10:20,,,,,EN8/CO/NP/BLUTI/11:55,,,,,EN10/CO/NP/BLUTI/12:36,,,,FP/FX/EN10/BLUTI/12:40,,,,,,,,MISSED,,YN6(3)/EN1/NP/12:00,,,YX4+(5)/EN2/ABANDONED/9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,96,1,,MISSED,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV96,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,N4,,,,,N3,,,,,N5,,,,,N3,,,,,N3(OLD),,,,MISSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,99,1,GRETI,EMPTY,25/06/2021,,55,59,0,,,,,5,1,59,71,73,0,0,84,,,,110170137,,,,,,,,,,,,87,87,5,0,,5,,,,,117,MV99,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0,,,,,N2,,,,,EN3/CO/NP/GRETI/10:33,,,,,EN5/NP/LW/GRETI/12:37,,,,,EN5/FP/NDX/FL/WA/GRETI/12:00,,,,EN5/FP/NDX/FL/WA/11:36,,,,,EN?/YN5(3)/FP/NDX/GRETI/9:00,YN5(4/5?)/NP/GRETI/8:10,,VC4/NP/9:25-10:12/FP/FX/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,100,1,BLUTI,EMPTY,25/06/2021,,52,59,0,,,,,9,1,59,71,73,1,0,83,,,,,,,,,,,,,,,,87,87,4,0,,9,,,,,117,MV100,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5/EN1/CO/NP/13:16,,,,,EN6/CO/NP/BLUTI?/10:31,,,,,EN9/FP/NDX/FX/BLUTI/12:35,,,,,INC,,,,EN9/YN0/NP/WA/11:35,,EN6/YN3(1)/FP/NDX/FL/BLUTI/10:20,,,,,,VC3/FP/FX/9:22-10:15/NP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,101,1,BLUTI,EMPTY,25/06/2021,,49,58,1,,,,,10,1,58,70,71,1,0,81,,,,,,,,,,,,,,,,85,84,3,0,,10,,,,,117,MV101,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5/EN4/CO/NP/13:15/BLUTI,,,,,EN9/CO/NP/BLUTI/10:27,,,,,EN10/FP/NDX/FL/BLUTI/12:30,,,,,INC,,,EN10/YN0/NP/WA/BLUTI/14:15,EN3/YN6(1)/FP/ND/FL/BLUTI/11:34,,,,VC2/FP/FX/13:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,102,1,BLUTI,EMPTY,25/06/2021,,54,60,1,,,,,7,1,60,72,73,1,0,83,,,,,,,,,,,,,,,,87,87,2,0,,7,,,,,117,MV102,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N2,,,,,N5,,,,,EN4/CO/NP/BLUTI/10:20,,,,,EN7/FP/NDX/FX/BLUTI/12:28,,,,,INC,,,,INC,,EN3/YN4(1)/FP/NDX/FL/BLUTI/10:17,,,,,,VC2/NP/9:20-10:19/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,103,1,GRETI,EMPTY,25/06/2021,,36,42,0,,,,,7,1,43,55,57,0,0,68,,,TN,,,,,,,,,,,,,71,71,7,0,NA,7,,,,,117,MV103,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN7/NP/CO/GRETI/12:30,,,,,EN7/FP/FX/ND/GRETI/12:45,,,,,,,,FP/FX/EN7/GRETI/11:00,,EN?/YN7(1)/FP/ND/GRETI/10:20,,,,,YN7/VC2/11:30-12:35,,,,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,104,1,GRETI,EMPTY,25/06/2021,,44,54,0,,,,,6,1,54,66,64,0,1,75,,,,NA,,,NA,,,,,,,,,78,79,5,0,NA,5,,,,,117,MV104,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5/FP/EN0/FX/GRETI/12:25,,,,,EN4/CO/NP/GRETI/12:40,,,,,N5/EN4/CO/NP/13:14/BLUTI,,,,,EN6/FP/FX/ND/GRETI/10:16 didnt lay continuously,,,,,,,,,EN0/YN5(3)/NP/13:30 chicks have subcut feathers on wings and back,,,,,VC2/11:35-12:25,,,,,,,,YN5/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
