FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
1,MW,12,1,BLUTI,fp/yn2(1)/en3+/ibi(4)/11:14/bluti,05/05/2019,,43,52,1,1,1,43,,10,1,52,63,66,1,4,76,NONE,NA,,,No male,No male,,,D198094,,418159630,78,78,1,0,1,9,,0,,90?,MW12,,,,,,,,,,,,,,N4/MA,,,,N4/BLUTI?,,,,,EN1/EW1(1)/CO/NP,,,,,NP/EN6/CO,,,,,EN10/FP/FL/BLUTI,,,,NP/EN10/WA,,,,,,,FP/FX/ND/EN4+/BLUTI,FP/FX/ND/EN5+/BLUTI,fp/yn2(1)/en3+/ibi(4)/11:14/bluti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,13,1,BLUTI,YN4,12/05/2019,MATERIAL USED 5,40,49,1,3.6,3,43,,10,1,49,60,65,1,0,75,NONE,75,,,,,?did not visit when antenna on,,Z066341,,01103F5B1D,77,77,4,0,4,6,,0,,90?,MW13,,,,,,,,,,,,,,N3/MA,,,,N4,,,,,EN4/EW3.6(3)/CO/NP,,,,,EN9/CO/NP/MU(5),,,,,EN?/FP/FX/MU(2)/BLUTI,,NP/EN10/WA,,INC,,FP/FX/IBR(1)/9:07,,NP/EN10,FP/FX/EN3+/BLUTI,FP/FX/ND/EN2+/BLUTI,,FP/FX/YN1+(1)/IBI(6)/9:54,,,,,,,,YN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,14,1,BLUTI,YN9,05/05/2019,,26,38,1,3.2,3,38,,12,1,44,55,59,1,0,69,NA,NA,,,,,011016DF12,,,,011016D93B,71,73,9,0,9,3,,0,,90?,MW14,,,,,,,,,,,,,,EN7/LW/NP/BLUTI?,,,,EN13/CO/EW3.2(3)/NP,,,,,EN12/CO/NP/MU(5),,,,,EN12/FP/FX/BLUTI/PIT,,,,,INC,,FP/FX/EN12/YN0,NP/EN12/WA,FP/FX/EN?,EN3+/FP/FX/BLUTI,FP/FX/YN2+(1)/IBI(1)/9:11,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,15,1,GRETI,YN8/EN1,19/05/2019,MATERIAL USED 5,53,61,1,,,,,9,1,61,72,73,1,1,84,84,84,,,D198203,,011016FA48,,D198350,,0110170AED,87,87,8,0,8,0,,0,,104,MW15,,,,,,,,,,,,,,N0,,,,NC/MA,,,,,N3,,,,,N3,,,,,EN1/CO/NP,,,,NP/EN5/CO/MU(5),,,,,EN9/WA/NP,,,,,,,,,,,YN1(1)/EN8,,,,,,,YN8/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,16,,,N0,01/05/2019,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW16,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,17,1,BLUTI,YN7,06/05/2019,,32,38,1,,,,,7,1,49,60,60,1,0,70,NA,NA,,,,,011016B405,,,,04185C3A83,72,73,7,0,7,0,,0,,90?,MW17,,,,,,,,,,,,,,EN3/CO/BLUTI?,,,,EN5/CO/NP/BLUTI?,,,,,EN7/CO/NP/BLUTI,,,,,EN7/CO/NP/BLUTI?,,,,,EN7/WA/FP/FL/BLUTI,,,,FP,,,,NP/YN6(2)/EN0,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,19,1,BLUTI,YX4,29/05/2019,MATERIAL USED 1,27,39,0,,,,,13,1,49,60,58,0,0,68,NA,NA,,,,,041815A047,,,,04194821CD,70,72,13,0,9,0,,4,"Z066909, Z066913, Z066910, Z066906 ",90 (DISCARDED),MW19,,,,,,,,,,,,,,EN8/CO/BLUTI,,,,EN9/CO/NP/MA,,,,,EN13/CO/NP/MU(1),,,,,EN13/CO/NP,,,,,EN13/WA/NP,,,,INC,,,,NP/YN12?(4?)/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,21,1,BLUTI,FP/FX,10/05/2019,,59,TBD,0,,,,,4?,1,66,77,78,,0,88,NA,NA,,,,,011016E39A,,,,01103F44E0,90,90,3,0,3,unk,,0,,104,MW21,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N2,,,,,N2/MA,,,,N3,,,,,NP/EN4/BLUTI,,,,,,,,,FP/FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,22,1,GRETI,YN7,20/05/2019,OVERTAKEN BY ANOTHER BIRD?,54,61,1,,,,,8,1,58,69,74,1,2,85,85,85,,,Y584162,,,,TV34224,,011016DBA6,88,87,6,0,6,0,,0,,104,MW22,,,,,,,,,,,,,,N4/MA,,,,N4/MU(1),,,,,N4,,,,,EN2/EW3.6(2)/CO/NP,,,,,N4/EN0!!,,,,EN4/CO/NP/BLUTI?,,,,,FP/FX/EN2+/GRETI,,,,,,,,FP/EN1+/FX/GRETI,NP/EN8,,EN3+/FP/FX,FP/FX/YN1+(1),,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,23,1,BLUTI,YN9,18/05/2019,,51,59,1,3.5,3,53,,9,1,59,70,72,1,0,82,NA,NA,,,,,011016C5C1,,,,0700EDC64A,84,83,9,0,9,0,,0,,104,MW23,,,,,,,,,,,,,,N2/MA,,,,N2,,,,,N2,,,,,N4,,,,,EN3/EW3.5(3)/CO/NP,,,,EN7/CO/NP,,,,,NP/EN9/WA,,,,,,,,,,YN3(1)/EN3+,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,24,1,,NC OLD,06/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW24,,,,,,,,,,,,,,NC/MA,,,,NC/MA,,,,,NC,,,,,NC,,,,,NC,,,,NC/MA LOOSE,,,,,NC,,,,,NC OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,25,1,GRETI,YN9,23/05/2019,,56,TBC,0,3.2,2,57,,9?,1,63,74,76,1,0,87,,,,,Z066630,,110174603,,Z066418,,0110170C32,90,90,9,0,9,unk,,0,,104,MW25,,,,,,,,,,,,,,NC/MA,MA,,,NC/MA,,,,,N1,,,,,N2,,,,,N4,,,,EN2/EW3.2(2)/CO/NP,,,,,NP/EN7/CO,,,,,FP/FX/EN?/GRETI,,,,,,,FP/FX/EN3+,,,,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,26,1,,N3,01/05/2019,MATERIAL USED 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW26,,,,,,,,,,,,,,N0,,,,NC/MA,,,,,N1/MA LOOSE,,,,,N2,,,,,N3/MU(1),,,,N4,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,27,1,GRETI,YN11/EN0,12/05/2019,,41,51,1,5.6,3,43,,11,1,51,62,65,1,0,76,76,76,,,Z066315,,419483034,,Z066256,,0110174FC8,79,79,10,0,10,1,,0,,90,MW27,,,,,,,,,,,,,,N2/MA,MA,,,N3,,,,,EN3/EW5.6(3)/CO/NP,,,,,EN8/CO/NP,,,,,EN11/WA/NP,,,,FP/EN11/FX/GRETI,,,,,,FP/FX/EN4+/GRETI,FP/EN3+/FX/GRETI,NP/YN5+?(1),,,,,,,,YN11/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,28,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW28,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,29,1,,EN1/OLD,01/05/2019,MATERIAL USED 1,57,57,,,,,,1,0,na,,,,,,,,,,,,,,,,,,,,,,,,,,,MW29,,,,,,,,,,,,,,N0,,,,NC/MA,,,,,N2,,,,,N3,,,,,N3/MU(1),,,,EN1/CO/NP,,,,,EN1/OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,30,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW30,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,32,1,,N2,01/05/2019,MATERIAL USED 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW32,,,,,,,,,,,,,,N0,,,,N1/MA,,,,,N2/MU(3),,,,,N3,,,,,N3/MU(1),,,,N2,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,35,1,BLUTI,YN9/EN3,07/05/2019,MATERIAL USED 3,33,45,1,,,,,13,1,49,60,63,1,4,73,NA,NA,,,Z066313,,01103F6CD7,,Z066245,,041948469E,75,75,9,0,9,0,,0,,check bag,MW35,,,,,,,,,,,,,,EN2/CO/NP,,,,EN4/CO/NP/BLUTI?,,,,,EN9/CO/NP,,,,,EN13/CO/NP/MU(3),,,,,EN?/FP/FX/BLUTI/MU,,,,INC,,,,FP/FX/EN7+/BLUTI,,YN6?(1)/EN3/NP/10:20,,,,,YN9/EN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,34,1,GRETI,YN9/EN0,10/05/2019,,38,47,1,1.5,1,38,,10,1,49,60,63,1,1,74,,,,,Z066472,,011016FBDD,,Z066857,,01103F5B01,77,77,8,0,8,2,,0,,87,MW34,,,,,,,,,,,,,,N4/MA,,,,EN1/CO/EW1.5(1)/MA loose,,,,,EN6/CO/NP,,,,,EN10/CO/NP,,,,,EN10/WA/NP,,,,INC,,,,FP/FX/EN3+/GRETI,EN10/NP/WA,FP/FX/YN4+(1)/12:10,,,,,,,,YN9/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,36,1,BLUTI,YN10,09/05/2019,MATERIAL USED 1,36,45,1,3.6,3,38,,10,1,49,60,63,1,0,73,NA,NA,,,,,0700EDFE13,,,,011016D4DB,75,75,10,0,10,0,,0,,104,MW36,,,,,,,,,,,,,,N4/MA,,,,EN3/CO/EW3.6(3)/MU(1),,,,,EN6/CO/NP/MU(5),,,,,EN10/CO/NP,,,,,EN10/WA/NP,,,,INC,,,,FP/FX/EN3+/GRETI,FP/FX/EN4+/BLUTI,FP/FX/YN1(1)/EN3+/BLUTI,NP/IBI(2)/8:40,,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,38,1,BLUTI,YN10,16/05/2019,,51,60,1,,,,,10,1,60,71,70,0,0,80,NA,NA,,,,,4.19E+06,,,,01103F3CFC,82,81,10,0,10,0,,0,,104,MW38,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,MISSED,,,,,MISSED,,,,EN7/NP/CO/BLUTI,,,,,EN10/WA/NP,,,,,,,,,,YN7(3?)/EN3/IBI(5)/14:20,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,39,1,BLUTI,YN10,11/05/2019,MATERIAL USED 1,35,44,1,3.8,3,38,,10,1,49,60,65,1,0,75,NA,NA,,,,,011016B599,,,,01103F5F40,77,77,10,0,10,0,,0,,90,MW39,,,,,,,,,,,,,,EN2/NP/CO/MA,,,,EN4/CO/WE3.8(3)/NP/BLUTI,,,,,EN9/MU(1)/CO/NP,,,,,EN10/CO/NP,,,,,EN10/WA/NP/MU(1),,,,INC,,,,FP/FX/EN4+/BLUTI,EN6+/FP/FX/BLUTI,FP/FX/EN6+/BLUTI,,FP/YN2+(1)/IBI(2)/09:05,,,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,40,1,GRETI,NP/YN5(1)/EN3/IBI(2),30/04/2019,,37,44,1,3.2,2,38,,8,1,44,55,61,1,0,72,72,72,,,Z066387,,,,D198260,,01101702B3,75,74,7,0,7,1,,0,,90,MW40,,,,,,,,,,,,,,N2/MA,,,,EN2/CO/EW3.2(2)/NP,,,,,EN7/CO/NP,,,,,EN8/WA/NP,,,,,INC,,NP/EN8/WA,FP/EN2+/FX,FP/FX/EN1+,FP/FX/EN3+,FP/EN4+/FX/GRETI,FP/FX/EN3+,NP/YN5(1)/EN3/IBI(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,41,1,GRETI,YN6,15/05/2019,,50,55,1,,,,,6,1,55,66,69,1,0,80,,,,,Z066269,,01101738A7,,Z066575,,0110172A7D,83,83,6,0,6,0,,0,,90,MW41,,,,,,,,,,,,,,N0,,,,NC/MA,,,,,N4,,,,,N4,,,,,EN4/NP/GRETI?/CO,,,,FP/EN3+/FX/GRETI,,,,,,FP/FX/EN4+,,NP/EN6,FP/EN5+/GRETI,FP/FX/EN4+/GRETI,,,YN6(2)/NP,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,42,,,N0,02/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW42,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,MISSED,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,43,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW43,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,44,1,GRETI,YN6,09/05/2019,,41,48,1,4.9,3,43,,8,1,48,59,62,1,1,73,,,,,Z066870,,01103F8B9A,,Z066663,,0110174CCC,76,76,6,0,6,1,,0,,87,MW44,,,,,,,,,,,,,,N1,MA/GRETI,,,N4,,,,,EN3/EW4.9(3)/CO/NP,,,,,EN8/WA/NP,,,,,INC,,,,INC,,,FP/FX/EN2+/BLUTI,,FP/FX/YN2+(1)/GRETI/12:35,,FP/FX/IBR(1)/9:02,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,45,1,GRETI,YN3,09/05/2019,MATERIAL USED 2,42,49,1,3.7,2,43,,8,1,49,60,62,1,0,73,,,,,Z066615,,0110174D6C,,Z066448,,01101701D9,76,76,3,0,3,5,,0,,87,MW45,,,,,,,,,,,,,,N2,MA,,,N4,,,,,EN2/EW3.7(2)/CO/NP,,,,,EN7/CO/NP,,,,,EN8/FP/FA/GRETI/MU(2),,,,INC,,,,FP/FX/EN5+/GRETI,NP/YN7(1)/EN1/IBI(2)/11:40,,,,,,,,YN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,47,1,BLUTI,YX5+,09/05/2019,ABANDONED,39,52,,,,,,14,1,52,63,65,1,0,75,na,na,,,unk,,,,unk,,,77,na,na,na,0,14,,na,,70,MW47,,,,,,,,,,,,,,N4,MA,,,N4/MA loose,,,,,EN5/NP/CO/BLUTI?,,,,,EN10/CO/NP,,,,,EN14/WA/NP,,,,FP/FX/EN3+/BLUTI,,,,,,FP/FX/EN2+,,FP/FX/ND/YN1+(1)/BLUTI,,,,,YX5+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,48,1,GRETI,YN6/EN1,16/05/2019,,50,57,1,4.8,3,53,,8,1,57,68,70,1,1,81,80,,,,Z066589,,011016FB74,,,,,84,83,6,0,6,1,,0,,104,MW48,,,,,,,,,,,,,,N1,MA,,,N3,,,,,N4,,,,,N4,,,,,EN4/EW4.8(3)/CO/NP,,,,EN8/WA/NP,,,,,,,,,NP/EN8/WA,,,,FP/FX/YN1+(1),,,,,,,YN6/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,49,1,GRETI,EN3/CO/NP,01/05/2019,,42,44,1,5.1,3,43,,3,,na,na,na,,3,,,,,,,,,,,,,,,,,0,na,,na,,104,MW49,,,,,,,,,,,,,,N3,MA,,,N4,,,,,EN2/EW3.3(2)/CO/NP,,,,,EN4/EW5.1(3)/CO/NP,,,,,EN3/CO/NP,,,,NP/EN3/EW5.2(3)/CO/MA LOOSE,,,,,EN3/CO/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
