FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,24,1,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,N3 OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,25,1,GRETI,10+ long eared bats (previously cleaned),16/06/2020,,,,,,,,,,,,,75,1,,86,na,na,,0110170C32,Z066418,F,unk,,,,,,,,,89,na,0,0,na,0,5,,,,86,MW25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/EN4/YN1(1)/GRETI,,,,,,,,,,,YX5/ABANDONED,,,,,,,,,,,,,,,,,,,,,,10+ long eared bats (previously cleaned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,26,1,GRETI,cleaned/EN0/YX2,16/06/2020,,,,,,,,,,,,,74,0,,85,,85,,01103F5E08,Y584230,M,01103F5952,ABL3855,F,1,,ABL3855,Y,,,88,87,3,,N,,1,,1,TV35065,108,MW26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(2)/NDX/GRETI,,,,,,,,,,,,YN3/YX1,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,27,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,67,0,,78,77,,,0110174FC8,Z066256,F,unk/no visits?,,,1,1,Z066256,Y,NA,NA,81,81,9,0,Y,,,,,,108,MW27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN9(9)/GRETI/VC2/10:30-11:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,28,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,29,1,GRETI,"cleaned/EN0/YX4/no ring/TV35077,78,79",16/06/2020,,72,,1,,,,,,,,,78,1,,89,na,89,,01103FE70C,Y584445,,unk,,,1,1,Y584445,Y,NA,N,92,89,3,,N,0,1,,3,"TV35077,78,79",108,MW29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/EN4/GRETI,,,,,NP/YN4(3)/GRETI,,,,,,,YN3/YX1,,,,,,,,,,,,,,,,,,,,,"cleaned/EN0/YX4/no ring/TV35077,78,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,30,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,74,0,,85,85,85,,0110170A4E,Y584360,,,,,1,1,Y584360,Y,Z067423,Y,88,87,7,0,Y,,,,,,108,MW30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN5+(2)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,32,1,,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,35,,,#N/A,#N/A,removed - not safe with amount of brambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,34,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,71,0,,81,na,na,,01103FC5DF,Y584235,,01103F8B45,Y584402,,,,,,,,83,82,8,0,na,,,,,,108,MW34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN8(5)/BLUTI/VC3/11:16-12:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
