"","RFID","Row.names","X","Date","Hmsec","CounterID","nestbox","year","latency","repeat_birds","age","sex","Age2019BreedingSeason","Age2020BreedingSeason","Age2021BreedingSeason"
"68","01103FC5DF","72",1,"2020-05-15 14:24:58",237,"c1252 ","mw34",2020,3449,FALSE,"3","","notBornYet","juvenile","adult"
"69","01103FD262","92",1,"2020-05-16 12:20:11",930,"c1252 ","mw49",2020,499,FALSE,"5","M","notBornYet","juvenile","adult"
"70","01103FDB47","42",1,"2020-05-20 10:39:49",874,"c1254 ","mw22",2020,137,FALSE,"3","M","notBornYet","juvenile","adult"
"71","01103FDC8F","113",2,"2020-05-17 10:59:51",53,"c1272 ","mw66",2020,1401,FALSE,"5","F","notBornYet","juvenile","adult"
"72","01103FE1F3","39",2,"2020-05-15 10:15:45",504,"c1252 ","mw19",2020,331,FALSE,"3","F","notBornYet","juvenile","adult"
"73","01103FE30A","77",2,"2021-05-24 11:04:01",292,"c1252 ","mw4",2021,1782,FALSE,"3","F","notBornYet","notBornYet","juvenile"
"74","01103FE319","74",1,"2020-05-19 09:15:29",253,"c1252 ","mw36",2020,1363,FALSE,"3","F","notBornYet","juvenile","adult"
"75","01103FE413","43",2,"2020-05-20 10:45:11",167,"c1254 ","mw22",2020,459,FALSE,"5","","notBornYet","juvenile","adult"
"76","01103FE42F","61",2,"2021-05-16 09:27:50",276,"c1272 ","mw28",2021,713,FALSE,"3","M","notBornYet","notBornYet","juvenile"
"77","01103FE70C","63",1,"2020-05-24 10:35:10",123,"c1256 ","mw29",2020,233,FALSE,"3","F","notBornYet","juvenile","adult"
"78","0300024FEF","10",3,"2019-05-15 12:52:33",350,"c1252 ","mw106",2019,0,TRUE,NA,NA,NA,NA,NA
"79","0300024FEF","101",3,"2019-05-14 12:00:27",520,"c1256 ","mw56",2019,0,TRUE,NA,NA,NA,NA,NA
"80","0300024FEF","104",3,"2019-05-09 13:14:22",87,"c1256 ","mw6",2019,0,TRUE,NA,NA,NA,NA,NA
"81","0300024FEF","23",3,"2019-05-01 11:48:22",1005,"c1272 ","mw115",2019,0,TRUE,NA,NA,NA,NA,NA
"82","0300024FEF","111",2,"2019-05-18 10:57:18",152,"c1252 ","mw66",2019,0,TRUE,NA,NA,NA,NA,NA
"83","0300024FEF","119",2,"2019-05-15 11:18:48",226,"c1252 ","mw75",2019,0,TRUE,NA,NA,NA,NA,NA
"84","0300024FEF","134",2,"2019-05-04 08:34:20",1044,"c1254 ","mw93",2019,0,TRUE,NA,NA,NA,NA,NA
"85","0300024FEF","131",2,"2019-04-19 15:33:22",843,"c1272 ","mw9",2019,0,TRUE,NA,NA,NA,NA,NA
"86","0300024FEF","26",3,"2019-05-10 09:15:16",11,"c1256 ","mw129",2019,0,TRUE,NA,NA,NA,NA,NA
"87","0300024FEF","3",3,"2019-05-03 08:51:40",124,"c1252 ","mw10",2019,2844,FALSE,NA,NA,NA,NA,NA
"88","0300024FEF","96",3,"2019-05-15 10:27:14",170,"c1252 ","mw52",2019,0,TRUE,NA,NA,NA,NA,NA
"89","0300024FEF","85",2,"2019-05-07 11:31:42",386,"c1256 ","mw45",2019,0,TRUE,NA,NA,NA,NA,NA
"90","0300024FEF","41",1,"2019-05-19 11:48:27",277,"c1252 ","mw22",2019,0,TRUE,NA,NA,NA,NA,NA
"91","0300024FEF","81",3,"2019-05-14 10:51:34",1008,"c1256 ","mw41",2019,0,TRUE,NA,NA,NA,NA,NA
"92","0300024FEF","35",3,"2019-05-18 08:43:57",891,"c1252 ","mw15",2019,0,TRUE,NA,NA,NA,NA,NA
"93","0300024FEF","83",2,"2019-05-07 11:22:19",92,"c1272 ","mw44",2019,0,TRUE,NA,NA,NA,NA,NA
"94","0300024FEF","7",3,"2019-05-03 07:57:33",279,"c1272 ","mw102",2019,0,TRUE,NA,NA,NA,NA,NA
"95","0300024FEF","71",3,"2019-05-09 10:08:16",326,"c1256 ","mw34",2019,0,TRUE,NA,NA,NA,NA,NA
"96","0300030EFF","20",2,"2020-05-15 12:01:37",314,"c1254 ","mw113",2020,0,TRUE,NA,NA,NA,NA,NA
"97","0300030EFF","107",3,"2020-05-17 10:23:14",142,"c1256 ","mw60",2020,0,TRUE,NA,NA,NA,NA,NA
"98","0300030EFF","109",2,"2019-05-17 10:54:47",770,"c1254 ","mw64",2019,0,TRUE,NA,NA,NA,NA,NA
"99","0300030EFF","98",2,"2019-05-09 09:03:55",289,"c1252 ","mw55",2019,0,TRUE,NA,NA,NA,NA,NA
"100","0300030EFF","64",2,"2020-05-24 10:31:17",326,"c1256 ","mw29",2020,0,TRUE,NA,NA,NA,NA,NA
"101","0300030EFF","29",3,"2019-05-05 12:09:03",467,"c1252 ","mw140",2019,0,TRUE,NA,NA,NA,NA,NA
"102","0300030EFF","114",3,"2020-05-17 10:36:30",633,"c1272 ","mw66",2020,0,TRUE,NA,NA,NA,NA,NA
"103","0300030EFF","117",3,"2019-05-22 10:30:27",668,"c1254 ","mw73",2019,2297,TRUE,NA,NA,NA,NA,NA
"104","0300030EFF","12",2,"2020-05-20 10:42:23",1102,"c1256 ","mw106",2020,0,TRUE,NA,NA,NA,NA,NA
"105","0300030EFF","121",2,"2020-05-20 12:14:17",939,"c1256 ","mw75",2020,0,TRUE,NA,NA,NA,NA,NA
"106","0300030EFF","123",2,"2021-05-16 09:19:33",1125,"c1252 ","mw78",2021,0,TRUE,NA,NA,NA,NA,NA
"107","0300030EFF","125",2,"2019-05-05 10:17:40",662,"c1252 ","mw8",2019,0,TRUE,NA,NA,NA,NA,NA
"108","0300030EFF","126",1,"2021-05-12 10:42:24",116,"c1272 ","mw84",2021,0,TRUE,NA,NA,NA,NA,NA
"109","0300030EFF","18",3,"2019-05-10 09:08:28",668,"c1252 ","mw113",2019,0,TRUE,NA,NA,NA,NA,NA
"110","0300030EFF","129",3,"2020-05-20 08:53:14",493,"c1254 ","mw89",2020,0,TRUE,NA,NA,NA,NA,NA
"111","0300030EFF","49",2,"2020-05-20 10:42:23",1102,"c1256 ","mw25",2020,0,TRUE,NA,NA,NA,NA,NA
"112","0300030EFF","37",2,"2020-05-15 10:05:11",452,"c1272 ","mw15",2020,0,TRUE,NA,NA,NA,NA,NA
"113","0300030EFF","15",3,"2020-05-17 09:03:16",717,"c1272 ","mw11",2020,0,TRUE,NA,NA,NA,NA,NA
"114","0300030EFF","4",4,"2019-05-03 08:04:16",453,"c1252 ","mw10",2019,0,FALSE,NA,NA,NA,NA,NA
"115","0300030EFF","30",1,"2020-05-17 11:41:05",876,"c1272 ","mw140",2020,0,TRUE,NA,NA,NA,NA,NA
"116","0300030EFF","56",2,"2019-05-10 09:58:35",60,"c1252 ","mw27",2019,0,TRUE,NA,NA,NA,NA,NA
"117","0300030EFF","59",2,"2020-05-15 12:10:45",199,"c1256 ","mw27",2020,0,TRUE,NA,NA,NA,NA,NA
"118","0300030EFF","73",2,"2020-05-15 13:27:29",801,"c1252 ","mw34",2020,0,TRUE,NA,NA,NA,NA,NA
"119","0300030EFF","75",2,"2020-05-19 08:52:46",216,"c1252 ","mw36",2020,0,TRUE,NA,NA,NA,NA,NA
"120","0300030EFF","51",2,"2021-05-20 09:33:00",46,"c1252 ","mw25",2021,0,TRUE,NA,NA,NA,NA,NA
"121","0300030EFF","40",3,"2020-05-15 10:10:14",1075,"c1252 ","mw19",2020,0,TRUE,NA,NA,NA,NA,NA
"122","0300030EFF","54",3,"2020-05-19 09:39:15",40,"c1254 ","mw26",2020,0,TRUE,NA,NA,NA,NA,NA
"123","0300030EFF","68",2,"2020-05-19 10:42:23",1123,"c1254 ","mw30",2020,0,TRUE,NA,NA,NA,NA,NA
"124","0300030EFF","32",2,"2020-05-17 09:22:12",82,"c1256 ","mw142",2020,0,TRUE,NA,NA,NA,NA,NA
"125","0300030EFF","93",2,"2020-05-16 12:11:52",43,"c1252 ","mw49",2020,0,TRUE,NA,NA,NA,NA,NA
"126","0300030EFF","62",3,"2021-05-16 09:15:57",1023,"c1272 ","mw28",2021,0,TRUE,NA,NA,NA,NA,NA
"127","0300030EFF","88",3,"2020-05-19 12:13:45",671,"c1252 ","mw45",2020,0,TRUE,NA,NA,NA,NA,NA
"128","0300030EFF","66",2,"2020-05-16 09:49:00",73,"c1254 ","mw3",2020,0,TRUE,NA,NA,NA,NA,NA
"129","0300030EFF","91",3,"2021-05-07 10:12:24",670,"c1252 ","mw45",2021,0,TRUE,NA,NA,NA,NA,NA
"130","0300030EFF","44",3,"2020-05-20 10:37:32",316,"c1254 ","mw22",2020,0,TRUE,NA,NA,NA,NA,NA
"131","0300030EFF","47",3,"2019-05-22 12:19:24",226,"c1254 ","mw25",2019,0,TRUE,NA,NA,NA,NA,NA
"132","0300030EFF","78",3,"2021-05-24 10:34:19",181,"c1252 ","mw4",2021,0,TRUE,NA,NA,NA,NA,NA
"133","0419483034","57",3,"2019-05-10 10:02:57",718,"c1252 ","mw27",2019,262,FALSE,NA,NA,NA,NA,NA
"134","04194841F7","132",3,"2019-04-19 15:42:49",706,"c1272 ","mw9",2019,567,FALSE,NA,NA,NA,NA,NA
